QSO Name	Galaxy ^a	Galaxy	Galaxy	z_sys	L/L*^b	log M_*	R ^c	R_vir^d	log sSFR	${\log (N_{{\rm C\,\scriptsize{IV}}}}$)^e	W_r^f	phi ^g	C IV 3sigma	
J0929+4644	172_157	09:29:11.71	+46:41:47.2	0.017	0.019	8.5	52	132	-8.7	13.73 +or- 0.05	173 +or- 22	50	30	
J0925+4535	227_334	09:25:30.98	+45:31:57.8	0.014	0.111	10.0	95	259	-10.3	13.56 +or- 0.06	106 +or- 18	9	30	
J1207+2624	285_98	12:07:13.89	+26:24:55.4	0.048	0.066	9.7	90	225	-10.0	14.19 +or- 0.03	437 +or- 33	11	36	
J1545+0936	285_81	15:45:48.20	+09:36:42.2	0.055	0.181	9.8	84	232	-9.8	14.14 +or- 0.05	393 +or- 41	55	57	
J1342+1844	160_190	13:42:51.43	+18:41:44.5	0.027	0.052	9.4	101	202	-10.0	13.71 +or- 0.11	158 +or- 44	65	54	
J1122+5755	259_309	11:22:06.67	+57:54:45.3	0.011	0.029	9.1	65	182	-10.1	13.74 +or- 0.08	149 +or- 39	86	51	
J1330+3119	70_57	13:30:57.52	+31:19:50.2	0.034	0.045	9.5	37	206	-10.1	14.27 +or- 0.03	406 +or- 30	7	51	
J1134+2555	358_76	11:34:57.46	+25:56:44.6	0.032	0.080	9.7	47	224	-9.9	13.58 +or- 0.12	111 +or- 35	78	48	
J1059+2517	247_92	10:59:52.49	+25:16:33.5	0.021	0.117	9.9	37	252	-10.1	13.74 +or- 0.08	152 +or- 34	85	42	
J0843+4117	94_177	08:44:05.20	+41:17:26.4	0.030	0.040	9.6	103	216	-9.9	13.84 +or- 0.10	180 +or- 43	22	75	
J0949+3902	234_105	09:49:45.57	+39:01:01.9	0.018	0.064	9.7	37	233	-9.7	>14.54	605 +or- 28	9	42	
J0826+0742	69_79	08:26:38.51	+07:43:16.4	0.052	0.085	9.7	77	222	-9.6	>14.39	452 +or- 38	63	54	
J0959+0503	318_13	09:59:15.04	+05:04:05.0	0.059	0.088	10.0	14	247	-9.9	>14.69	824 +or- 38	56	42	
J1236+2641	356_25	12:36:03.91	+26:42:01.4	0.062	0.043	9.4	28	193	-9.7	>14.38	258 +or- 83	50	144	
J0042-1037	358_9	00:42:22.27	-10:37:35.2	0.095	0.039	9.6	15	200	-10.3	>14.55	511 +or- 48	27	87	
PG1202+281	165_95	12:04:43.87	+27:52:39.2	0.051	0.096	10.0	92	254	<  -12.1	13.58 +or- 0.10	95 +or- 30	59	54	
J0820+2334	260_17	08:20:22.99	+23:34:47.4	0.095	0.046	9.8	29	218	<  -10.9	>14.10	201+or- 42	50	87	
J0809+4619	257_269	08:08:42.75	+46:18:29.0	0.024	0.030	9.0	125	169	-9.6	<12.88	<14	52	30	
J1327+4435	122_131	13:27:14.52	+44:33:54.3	0.048	0.089	9.8	119	229	-9.5	<13.25	<19	32	45	
J0912+2957	20_223	09:12:41.57	+30:00:53.9	0.023	0.062	9.8	102	240	-10.0	<12.97	<18	42	39	
J0947+1005	135_580	09:48:00.79	+09:58:15.4	0.010	0.014	9.0	120	172	-10.0	<13.02	<20	73	45	
PG1049-005	316_78	10:51:47.77	-00:50:20.3	0.039	0.110	9.6	58	219	-9.9	<12.98	<16	53	36	
J1521+0337	252_124	15:21:31.73	+03:36:51.8	0.036	0.087	9.5	87	206	-9.5	<13.56	<58	69	120	
J1451+2709	184_526	14:51:05.82	+27:00:42.3	0.013	0.008	8.3	135	114	-9.8	<13.09	<18	81	39	
J1342+0505	210_241	13:41:58.41	+05:01:55.7	0.025	0.038	9.4	116	201	-9.9	<13.35	<17	73	39	
J1211+3657	312_196	12:11:02.54	+36:59:53.9	0.023	0.147	10.1	90	272	-9.8	<13.17	<29	89	45	
J1121+0325	73_198	11:21:26.95	+03:26:41.6	0.023	0.174	10.1	89	277	-10.2	<13.45	<44	7	114	
J1001+5944	87_608	10:02:23.03	+59:44:34.5	0.011	0.018	8.7	135	148	-9.7	<12.89	<15	76	30	
J0155-0857	329_403	01:55:16.26	-08:51:15.4	0.013	0.015	9.0	105	169	-9.8	<13.15	<28	24	51	
J0310-0049	124_197	03:10:38.64	-00:51:43.6	0.026	0.008	8.5	101	129	-9.9	<13.04	<21	70	48	
J0242-0759	84_223	02:43:05.80	-07:58:53.3	0.029	0.040	8.9	126	166	-9.6	<13.23	<34	32	72	
J1059+1441	316_200	10:59:35.63	+14:44:07.7	0.010	0.006	8.2	41	102	-9.1	<13.06	<16	19	36	
J1357+1704	93_248	13:57:29.95	+17:04:29.2	0.026	0.042	9.3	124	196	-9.7	<12.93	<17	19	39	
J0946+4711	198_218	09:46:14.61	+47:08:03.3	0.015	0.080	9.6	66	222	-9.9	<13.71	<59	18	156	
J1022+0132	337_29	10:22:18.22	+01:32:45.4	0.074	0.024	9.1	39	167	-10.1	<13.31	<45	71	72	
J1616+4154	327_30	16:16:47.99	+41:54:41.3	0.104	0.041	9.2	55	172	-9.4	<13.47	<39	84	63	
J1356+2515	182_159	13:56:25.02	+25:12:44.2	0.032	0.038	9.6	97	212	<  -12.1	<13.27	<35	87	72	
